,Year,AvgPop,Live_births,Deaths,Natural_change,BirthPer1000,DeathPer1000,ChangePer1000,FertRate
75,2010,309327143,3999386,2468435,1530951,13.0,8.0,5.0,1.931
76,2011,311583481,3953590,2515458,1438412,12.7,8.1,4.6,1.894
77,2012,313877862,3952841,2543279,1409562,12.6,8.1,4.5,1.88
78,2013,316059947,3932181,2596993,1336183,12.4,8.2,4.2,1.857
79,2014,318386329,3988076,2626418,1361658,12.5,8.2,4.3,1.862
80,2015,320738994,3978497,2712630,1265867,12.4,8.4,4.0,1.843
81,2016,323071755,3945875,2744248,1201627,12.2,8.5,3.7,1.82
82,2017,325122128,3855500,2813503,1041997,11.8,8.7,3.1,1.765
83,2018,326838199,3791712,2839205,952507,11.6,8.7,2.9,1.729
84,2019,328329953,3747540,2854858,892682,11.4,8.7,2.7,1.706
85,2020,331501080,3613647,3383729,229918,10.9,10.2,0.7,1.641
86,2021,331893745,3664292,3464231,200061,11.0,10.5,0.5,1.664
